placeId,placeName,chapter,unit,provinceName,latitude,longitude,method
,Valentia,Dux Armeniae.,Cohors prima Theodosiana,CARTBAGINIENSIS,39.469707,-0.376335,polygon
,Cornaco,Dux Pannoniae.,Equites Dalmatae,CARTBAGINIENSIS,39.762515,-0.436996,polygon
,Aleto,Dux tractus Armoricani.,Praefectus militum Martensium,CARTBAGINIENSIS,39.651880,-1.064836,polygon
,Tricornio,Dux Moesiae primae.,Auxiliares Tricornienses,TARRACONENSIS,42.084437,-1.707098,polygon
,Tricornio,Dux Moesiae primae.,Auxilium Aureomontanum,TARRACONENSIS,42.084437,-1.707098,polygon
,Tricornio,Dux Moesiae primae.,Cuneus equtum sagittariorum,TARRACONENSIS,42.084437,-1.707098,polygon
,Vindobala,Dux Britanniarum.,Tribunus cohortis primae Frixagorum,BRITANNIAE I AND II,55.002491,-1.825522,polygon
,Solua,Dux provinciae Valeriae.,Equites Mauri,TARRACONENSIS,43.102037,-2.419593,polygon
,Aesica,Dux Britanniarum.,Tribunus cohortis primae Asturum,BRITANNIAE I AND II,54.994815,-2.464496,polygon
,Adnamantia,Dux provinciae Valeriae.,Equites Dalmatae,CARTBAGINIENSIS,41.487065,-2.533599,polygon
,Magnis,Dux Britanniarum.,Tribunus cohortis secundae Dalmatarum,BRITANNIAE I AND II,52.081096,-2.817303,polygon
,Oesco,Dux Daciae ripensis.,Auxilium Mariensium,BAETICA,36.128344,-5.353741,polygon
,Oesco,Dux Daciae ripensis.,Praefectus legionis quintae Macedonicae,BAETICA,36.128344,-5.353741,polygon
,Burgo Novo,Dux Daciae ripensis.,Praefectus legionis tertiaedecimae geminae,LUSITANIA,40.099994,-8.234526,polygon
,Cartha,Dux Mesopotamiae.,Ala secunda nova Aegyptiorum,,53.260650,-8.492026,
,Cartha,Dux Palaestinae.,Cohors decima Carthaginensis,,53.260650,-8.492026,
,Neia,Dux Foenicis.,Ala prima Alamannorum,LUSITANIA,38.524177,-8.889462,polygon
,Afro,Dux Palaestinae.,Cohors duodecima Valeria,LUSITANIA,38.711018,-9.150090,polygon
,Siosta,Dux Daciae ripensis.,Tribunus cohortis secundorum reducum,,51.778007,-9.731095,
