gazetteerId,placeName,sourcePlaceName,pleiadesId,pleiadesName,latitude,longitude,featureType,description,uri,confidence
GAZ00060,Copto,Copto,786010,Coptos,25.956181,32.769868,unknown,An ancient settlement on the Nile river (modern Quft/Qift in Egypt) that flourished from pre-dynastic times through late antiquity.,http://pleiades.stoa.org/places/786010,confirmed
GAZ00061,Cornaco,Cornaco,197227,Cornacum,45.295094,19.09733,unknown,"An ancient place, cited: BAtlas 20 G4 Cornacum",http://pleiades.stoa.org/places/197227,confirmed
GAZ00062,Cremonae,Cremonae,383628,Cremona,45.133639,10.026149,unknown,"Cremona is a city of Cisalpine Gaul located on the Po river. The Romans established a colony of 6,000 settlers there after 225 BC. Cremona was the first Latin colony placed north of the Po river.",http://pleiades.stoa.org/places/383628,confirmed
GAZ00063,Crumero,Crumero,197232,Crumerum,47.758799,18.538585,unknown,A Roman fort in Pannonia Superior east of Brigetio that was the base of the cohors V Callaecorum Lucensium.,http://pleiades.stoa.org/places/197232,confirmed
GAZ00064,Cunna,Cunna,668233,Cunna,34.266959,37.832095,unknown,"An ancient place, cited: BAtlas 68 E5 Cunna?",http://pleiades.stoa.org/places/668233,confirmed
GAZ00065,Cusas,Cusas,756588,Cusas,27.438183,30.817991,unknown,"An ancient place, cited: BAtlas 77 D2 Koussai/Koskam",http://pleiades.stoa.org/places/756588,confirmed
GAZ00066,Cusi,Cusi,207062,Cusus,,,unknown,"An ancient place, cited: BAtlas 21 A2 Cusus fl.",http://pleiades.stoa.org/places/207062,confirmed
GAZ00067,Dabana,Dabana,658448,Dabana,36.663746,38.951714,unknown,"An ancient place, cited: BAtlas 67 H3 Dabana/Tharrana/Mannouorra",http://pleiades.stoa.org/places/658448,confirmed
GAZ00068,Damasci,Damasci,678106,Damascus,33.51158693541351,36.3066092133522,mosque;,"The ancient city of Damascus, located in modern Syria, with some 125 monuments dating back to the Roman period. Inscribed as a UNESCO World Heritage Site in 1979.",http://pleiades.stoa.org/places/678106,confirmed
GAZ00069,Dano,Dano,79412,Danum,,,fort;,"A Roman auxiliary fort at present day Doncaster, cited: BAtlas 8 F1 Danum?",http://pleiades.stoa.org/places/79412,confirmed
GAZ00070,Dascusa,Dascusa,628963,Dascusa,38.941935,38.715521,unknown,"A fortress in Armenia Minor on the river Euphrates, some 75 Roman miles from Zimara.",http://pleiades.stoa.org/places/628963,confirmed
GAZ00071,Dimo,Dimo,216790,Dimum,43.64822,25.128306,unknown,"An ancient place, cited: BAtlas 22 C5 Dimum",http://pleiades.stoa.org/places/216790,confirmed
GAZ00072,Domana,Domana,857111,Domana,40.212239,39.651311,unknown,"An ancient place, cited: BAtlas 87 E4 Domana",http://pleiades.stoa.org/places/857111,confirmed
