placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000117,,OCC000117,Intercisa,197323,Intercisa,46.974661,18.937209,unknown,Occidentis,Dux provinciae Valeriae,,Equites sagittarii,1288,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000119,,OCC000119,Lussonio,197362,Lussonium,46.656784,18.881709,unknown,Occidentis,Dux provinciae Valeriae,,Equites Dalmatae,1290,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000121,,OCC000121,Ad Statuas,197085,Ad Statuas,46.248772,18.686978,unknown,Occidentis,Dux provinciae Valeriae,,Equites Dalmatae,1292,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000122,,OCC000122,Florentiae,197360,Florentia,46.081535,18.758743,unknown,Occidentis,Dux provinciae Valeriae,,Equites Dalmatae,1293,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000124,,OCC000124,Ad Militare,197073,Ad Militare,45.850803,18.85223,unknown,Occidentis,Dux provinciae Valeriae,,Equites Flavianenses,1295,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000129,,OCC000129,Cardabiaca,197283,Cardabiaca,47.724319,18.660225,unknown,Occidentis,Dux provinciae Valeriae,,Auxilia insidiatorum,1300,CONTEXT_EXACT,confirmed,SOFT_MATCH,VALERIA,Valeriae ripensis,,Valeriae ripensis,
OCC000131,,OCC000131,Aliscae,197103,Alisca,46.312562,18.757918,unknown,Occidentis,Dux provinciae Valeriae,Praefectus,legionis secundae adiutricis cohortis quintae partis superioris,1302,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000132,,OCC000132,Florentiae,197360,Florentia,46.081535,18.758743,unknown,Occidentis,Dux provinciae Valeriae,Praefectus,legionis secundae adiutricis partis inferioris,1303,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000135,,OCC000135,Cirpi,197208,Cirpi,47.794589,19.034743,unknown,Occidentis,Dux provinciae Valeriae,Praefectus,legionis secundae adiutricis,1306,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000136,,OCC000136,Lussonio,197362,Lussonium,46.656784,18.881709,unknown,Occidentis,Dux provinciae Valeriae,Praefectus,legionis secundae adiutricis,1307,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000137,,OCC000137,Florentiae,197360,Florentia,46.081535,18.758743,unknown,Occidentis,Dux provinciae Valeriae,Praefectus,classis Histricae,1308,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000149,,OCC000149,Ala Nova,128354,Ala Nova,48.141031,16.477115,unknown,Occidentis,Dux Pannoniae primae,,Equites Dalmatae,1333,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA SUPERIOR,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000154,,OCC000154,Quadrato,197463,Quadrata,47.736147,17.390445,unknown,Occidentis,Dux Pannoniae primae,,Equites Mauri,1338,,confirmed,SOFT_MATCH,PANNONIA SUPERIOR,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000156,,OCC000156,Carnunto,128376,Carnuntum,48.113346,16.867891,unknown,Occidentis,Dux Pannoniae primae,Praefectus,legionis quartaedecimaegeminae militum liburnariorum cohortis quintae partis superior,1341,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA SUPERIOR,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000160,,OCC000160,Ad Mauros,118543,Ad Mauros,48.308623,14.023625,unknown,Occidentis,Dux Pannoniae primae,,Equites promoti,1346,CONTEXT_EXACT,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
