mentionId;document;line;literalForm;source;pointEligible;issue;nodeType;officeType;office;unit;chapter;groupPath;sourceText
PM000042;Occidentis;799;Sirmensis;unit;1;;civil;procurator;Procurator;gynaecii Sirmensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Sirmensis, Pannoniae secundae.
PM000043;Occidentis;800;Aspalato;transfer;1;;civil;procurator;Procurator;gynaecii Iovensis Dalmatiae - Aspalato;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Iovensis Dalmatiae - Aspalato.
PM000044;Occidentis;800;Iovensis;unit;1;;civil;procurator;Procurator;gynaecii Iovensis Dalmatiae - Aspalato;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Iovensis Dalmatiae - Aspalato.
PM000045;Occidentis;801;Aquileiensis;unit;1;;civil;procurator;Procurator;gynaecii Aquileiensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Aquileiensis, Venetiae inferioris.
PM000046;Occidentis;802;Mediolanensis;unit;1;;civil;procurator;Procurator;gynaecii Mediolanensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Mediolanensis, Liguriae.
PM000047;Occidentis;803;Romae;unit;1;;civil;procurator;Procurator;gynaecii urbis Romae;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii urbis Romae.
PM000048;Occidentis;804;Canusini;unit;1;;civil;procurator;Procurator;gynaecii Canusini et Venusini;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Canusini et Venusini, Apuliae.
PM000049;Occidentis;804;Venusini;unit;1;;civil;procurator;Procurator;gynaecii Canusini et Venusini;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Canusini et Venusini, Apuliae.
PM000050;Occidentis;805;Carthagiensis;unit;1;;civil;procurator;Procurator;gynaecii Carthagiensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Carthagiensis, Africae.
PM000051;Occidentis;806;Arelatiensis;unit;1;;civil;procurator;Procurator;gynaecii Arelatiensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Arelatiensis, provinciae Viennensis.
PM000052;Occidentis;807;Lugdunensis;unit;1;;civil;procurator;Procurator;gynaecii Lugdunensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Lugdunensis.
