occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText,pleiadesId,pleiadesName,candidate,rule,tier,latitude,longitude,featureType,gisProvince,geojsonId,nearestProvince,nearestGeojsonId,nearestKm,nameSimilarity,contextStatus,contextScore,matchType,similarity
OCC000059,Occidentis,Insignia viri illustris comitis sacrarum largitionum,814,Ravennatis,unit,Procurator,linyfii Ravennatis,,,,,,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores linyfiorum,393480,Ravenna,Ravenna,toponymic_atis,1,44.415718,12.196604,unknown,AEMILIA ET LIGURIA,77,,,,1.0,REGION_MATCH,1.000,REGION_EXACT,1.000
OCC000060,Occidentis,Insignia viri illustris comitis sacrarum largitionum,816,Tarentini,unit,Procurator,bafii Tarentini,Calabriae,,Calabriae,,Calabriae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum,442810,Tarentum,Tarentum,toponymic_alias,0,40.469229,17.240045,unknown,,,APULIA ET CALABRIA,39,1.43,1.0,HARD_NEAR_MATCH,1.000,CONTEXT_NEAR_EXACT,1.000
OCC000061,Occidentis,Insignia viri illustris comitis sacrarum largitionum,817,Salonitani,unit,Procurator,bafii Salonitani,Dalmatiae,,Dalmatiae,,Dalmatiae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum,197488,Salona,Salonitani,toponymic_anchor,0,43.539561,16.483426,unknown,DALMATIA,72,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000063,Occidentis,Insignia viri illustris comitis sacrarum largitionum,819,Syracusani,unit,Procurator,bafii Syracusani,Siciliae,,Siciliae,,Siciliae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum,462503,Syracusae,Syracusae,toponymic_alias,0,37.0738645,15.2718869278,,SICILIA,18,,,,1.0,HARD_MATCH,1.000,CONTEXT_EXACT,1.000
OCC000068,Occidentis,Insignia viri illustris comitis sacrarum largitionum,826,Arelatensium,unit,Praepositus,branbaricariorum siue argentariorum Arelatensium,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi branbaricariorum siue argentariorum,148217,Col. Arelate,Arelatensium,toponymic_anchor,0,43.677616,4.630799,unknown,VIENNENSIS,78,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000069,Occidentis,Insignia viri illustris comitis sacrarum largitionum,827,Remensium,unit,Praepositus,branbaricariorum siue argentariorum Remensium,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi branbaricariorum siue argentariorum,109275,Remi,Remi,toponymic_ensium,1,49.2561547,4.0320509,unknown,BELGICA II,94,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000070,Occidentis,Insignia viri illustris comitis sacrarum largitionum,828,Triberorum,unit,Praepositus,branbaricariorum siue argentariorum Triberorum,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi branbaricariorum siue argentariorum,108894,Col. Augusta Treverorum,Triberorum,toponymic_anchor,0,49.753731,6.646217,unknown,BELGICA I,92,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000071,Occidentis,Insignia viri illustris comitis privatarum,877,Triberorum,unit,Procurator,rei privatae gynaeciorum Triberorum,,,,,,,Insignia viri illustris comitis privatarum / Insignia viri illustris comitis privatarum / Sub dispositione viri illustris comitis rerum privatarum,108894,Col. Augusta Treverorum,Triberorum,toponymic_anchor,0,49.753731,6.646217,unknown,BELGICA I,92,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000074,Occidentis,Comes Africae,1080,Montensis,limes,Praepositus,limitis Montensis in castris Leptitanis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei,334579,Limes Montensis,Montensis,limes_anchor,0,34.5,7.5,unknown,NUMIDIA MILITIANA,8,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
OCC000075,Occidentis,Comes Africae,1080,Leptitanis,castris,Praepositus,limitis Montensis in castris Leptitanis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei,344448,Lepcitani,Leptitanis,toponymic_anchor,0,32.636748,14.2922,unknown,TRIPOLITANA,4,,,,1.0,NO_CONTEXT,0.000,EXACT_NO_CONTEXT,1.000
