placeName,component,candidate,rule,pleiadesId,pleiadesName,matchType
Syene,Syene,Syene,original,786123,Syene,CONFIRMED
Taliata,Taliata,Taliata,original,207485,Taliata,CONFIRMED
Taliatae,Taliatae,Taliata,ending,207485,Taliata,CONFIRMED
Tarba,Tarba,Tarba,original,246679,Tarba,CONFIRMED
Tauruno,Tauruno,Taurunum,ending,207488,Taurunum,CONFIRMED
Tegra,Tegra,Tegra,original,217003,Tegra,CONFIRMED
Teriolis,Teriolis,Teriolis,original,187581,Teriolis,CONFIRMED
Thainatha,Thainatha,Thainatha,original,678423,Thainatha,CONFIRMED
Thillafica,Thillafica,Thillafica,original,876722,Thillafica,CONFIRMED
Thillazamana,Thillazamana,Thillazamana,original,876723,Thillazamana,CONFIRMED
Toloha,Toloha,Toloha,original,697755,Toloha,CONFIRMED
Transmariscae,Transmariscae,Transmarisca,ending,217021,Transmarisca,CONFIRMED
Trapezunta,Trapezunta,Trapezus,word_rule,857359,Trapezus,CONFIRMED
Tricomia,Tricomia,Tricomia,original,678436,Tricomia,CONFIRMED
Tricornio,Tricornio,Tricornium,ending,207515,Tricornium,CONFIRMED
Trimammio,Trimammio,Trimammium,ending,217023,Trimammium,CONFIRMED
Valle Diocletiana,Valle Diocletiana,Valle Diocletiana,original,678447,Valle Diocletiana,CONFIRMED
Vangiones,Vangiones,Vangiones,original,109410,Vangiones,CONFIRMED
Veriaraca,Veriaraca,Veriaraca,original,668396,Veriaraca,CONFIRMED
Verteris,Verteris,Verteris,original,89312,Verteris,CONFIRMED
Viennae siue Arelati,Viennae siue Arelati,Vienna,ending,128537,Vienna,CONFIRMED
Vindobala,Vindobala,Vindobala,original,89315,Vindobala,CONFIRMED
Virosido,Virosido,Virosidum,ending,89317,Virosidum,CONFIRMED
Ysiporto,Ysiporto,Ysiporto,original,857291,Ysiporto,CONFIRMED
Ziganne,Ziganne,Ziganne,original,857385,Ziganne,CONFIRMED
Zoarae,Zoarae,Zoara,ending,697768,Zoara,CONFIRMED
