pleiadesId,romanized,attested,language,nameType
314839,Abbi,,,geographic
314840,Abbir Cella,,,geographic
314840,Abbir Cellae,,,geographic
314841,Abbir Maius,,,geographic
314839,Abbi…,,,geographic
614573,Abboanoi,,,geographic
708926627,Abbotsbury Castle,Abbotsbury Castle,en,geographic
609287,Abboukome,,,geographic
265762,Abdara,,,geographic
265762,Abdera,,,geographic
501323,Abdera,,,geographic
614574,Abeiktenoi,,,geographic
432617,Abella,,,geographic
432618,Abellinum,Abellinum,la,geographic
255947,Abelterium,,,geographic
311062,Abenses,,,geographic
59649,Aberia,,,geographic
893927,Aberta,,,geographic
462225,Abesa,Abesa,la,geographic
570027,Abia,,,geographic
573047,Abia,,,geographic
501325,Abide,,tr,geographic
501325,Abidūs,,arb,geographic
59677,Abies,,,geographic
211402,Abieta,,,geographic
334469,Abigas,,,geographic
59650,Abii,,,geographic
226628,Abike,,,geographic
697622,Abila,,,geographic
677992,Abila Dekapoleos,,,geographic
677993,Abila Lysaniou,,,geographic
275577,Abila M.,,,geographic
677994,Abilene,,,geographic
275577,Abilyx,Ἀβίλυχ,grc-Latn,geographic
915818,Abina,,,geographic
915818,Abinna,,,geographic
177453,Abiolica,,,geographic
59651,Abiria,,,geographic
39263,Abisama,,,geographic
59652,Abisareis,,,geographic
39264,Abissagi,,,geographic
92112,Abisson,,,geographic
314842,Abitina,,,geographic
314842,Abitinae,,,geographic
952058,Abivard,,,geographic
265763,Abla,,,geographic
865988,Ablana,,,geographic
628917,Ablastha,,,geographic
860781,Ablata,,,geographic
108724,Abnoba Ore,,,geographic
108724,Abnobaia Ore,,,geographic
260499,Abobrica,,la,geographic
187242,Abodiacum,,,geographic
438657,Abolani,,,geographic
462063,Abolla,,,geographic
462064,Abollas,,,geographic
255979,Abona,,,geographic
79279,Abona,,,geographic
79280,Abone,,,geographic
857682,Aborake,,,geographic
321632,Aboriense,,,geographic
59956,Aboritae,,,geographic
893928,Aborras,,,geographic
893928,Aborras,,grc,geographic
59956,Abortae,,la,geographic
79281,Abos,,,geographic
874294,Abos M.,,,geographic
609288,Abouadeineita,,,geographic
265763,Aboula,,,geographic
860782,Abounis,,,geographic
798037,Abounkis,,,geographic
