placeProvinceId,gazetteerId,placeName,pleiadesId,pleiadesName,latitude,longitude,provinceName,geojsonId,status,distanceKm
PP00117,GAZ00035,Betproclis,668212,Betproclis,34.639874,37.111805,SYRIA COELE,26,MATCH,0.0
PP00118,GAZ00086,Helela,668259,Helela,34.778675,38.733046,SYRIA COELE,26,MATCH,0.0
PP00119,GAZ00120,Oresa,668323,Oresa,35.124102,38.94342,SYRIA COELE,26,MATCH,0.0
PP00120,GAZ00124,Palmira,668331,Palmyra,34.553302,38.269948,SYRIA COELE,26,MATCH,0.0
PP00121,GAZ00029,Asfynis,785978,Asfynis,25.315559,32.510652,THEBAIS,1,MATCH,0.0
PP00122,GAZ00060,Copto,786010,Coptos,25.956181,32.769868,THEBAIS,1,MATCH,0.0
PP00123,GAZ00065,Cusas,756588,Cusas,27.438183,30.817991,THEBAIS,1,MATCH,0.0
PP00124,GAZ00089,Isiu,756583,Isiu,27.26579,31.149104,THEBAIS,1,MATCH,0.0
PP00125,GAZ00128,Psinaula,756628,Psinaula,26.653194,31.600403,THEBAIS,1,MATCH,0.0
PP00126,GAZ00142,Silili,756641,Silili,26.779471,31.555114,THEBAIS,1,MATCH,0.0
PP00127,GAZ00149,Syene,786123,Syene,24.095991,32.904942,THEBAIS,1,MATCH,0.0
PP00128,GAZ00010,Albano,197099,Albanum,45.663601,18.773792,VALERIA,85,MATCH,0.0
PP00129,GAZ00013,Aliscae,197103,Alisca,46.312562,18.757918,VALERIA,85,NEAR_MATCH,0.31
PP00130,GAZ00043,Campona,197187,Campona,47.393234,18.984598,VALERIA,85,NEAR_MATCH,12.64
PP00131,GAZ00046,Cardabiaca,197283,Cardabiaca,47.724319,18.660225,VALERIA,85,MATCH,0.0
PP00132,GAZ00056,Cirpi,197208,Cirpi,47.794589,19.034743,VALERIA,85,NEAR_MATCH,5.12
PP00133,GAZ00095,Lussonio,197362,Lussonium,46.656784,18.881709,VALERIA,85,NEAR_MATCH,9.85
PP00134,GAZ00101,Massiliae Graecorum,148127,Massilia,43.296854,5.382499,VIENNENSIS,78,MATCH,0.0
