candidateId,placeName,candidate,candidateNo,candidateType,chapter,document,nodeType,office,unit,canonicalName,province,region,latitude,longitude,confidence,notes,status,method,pleiadesId,pleiadesTitle,matchedName,matchCount
PLCAND00051,Andro,Andro,1,Place,Comes limitis Aegypti,Oriens,legion,,Legio tertia Diocletiana,,,,,,,,UNMATCHED,,,,,0
PLCAND00052,Ansamo,Ansamo,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites praeventores,,,,,,,,UNMATCHED,,,,,0
PLCAND00053,Antiochiae,Antiochiae,1,Place,Insignia viri illustris magistri officiorum,Oriens,unknown,,;Clibanaria,,,,,,,,AMBIGUOUS,LATIN_VARIANT,554187 | 609307 | 658381 | 874623 | 897709 | 912872 | 961873,Alexandria/Antiochia/Merv | Antiochia | Antiochia/Col. Caesarea | Antiochia/Theoupolis | Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]? | Nisibis/Antiochia,Antiochia,7
PLCAND00054,Antiochiae,Antiochiae,1,Place,Insignia viri illustris magistri officiorum,Oriens,unknown,,Scutaria et armorum,,,,,,,,AMBIGUOUS,LATIN_VARIANT,554187 | 609307 | 658381 | 874623 | 897709 | 912872 | 961873,Alexandria/Antiochia/Merv | Antiochia | Antiochia/Col. Caesarea | Antiochia/Theoupolis | Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]? | Nisibis/Antiochia,Antiochia,7
PLCAND00055,Antonaco,Antonaco,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum Acincensium,,,,,,,,UNMATCHED,,,,,0
PLCAND00056,Apadna,Apadna,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites promoti indigenae,,,,,,,,AMBIGUOUS,EXACT,876567 | 894133,Apadna | Tell Fidain/Appadana?/Neapolis?,Apadna,2
PLCAND00057,Apatna,Apatna,1,Place,Dux Osrhoenae,Oriens,unknown,,..............,,,,,,,,MATCH,EXACT,894133,Tell Fidain/Appadana?/Neapolis?,Apatna,1
PLCAND00058,Apollonos superioris,Apollonos superioris,1,Place,Dux Thebaidos,Oriens,legion,,Legio secunda Traiana,,,,,,,,UNMATCHED,,,,,0
PLCAND00059,Appiaria,Appiaria,1,Place,Dux Moesiae secundae,Oriens,cuneus,,Cuneus equitum scutariorum,,,,,,,,MATCH,EXACT,216707,Appiaria,Appiaria,1
PLCAND00060,Appiaria,Appiaria,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites tertii navclarii,,,,,,,,MATCH,EXACT,216707,Appiaria,Appiaria,1
PLCAND00061,Apuliae,Apuliae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator gynaecii Canusini et Venusini,,,,,,,,MATCH,LATIN_VARIANT,442469,Apulia,Apulia,1
PLCAND00062,Aquileiae,Aquileiae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,classis Venetum,,,,,,,,AMBIGUOUS,LATIN_VARIANT,118569 | 187290,Aquileia,Aquileia,2
PLCAND00063,Aquis siue Tertona,Aquis,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,Sarmatarum gentilium,,,,,,,,UNMATCHED,,,,,0
PLCAND00065,Arauraca,Arauraca,1,Place,Dux Armeniae,Oriens,cohort,,Cohors miliaria Bosporiana,,,,,,,,UNMATCHED,,,,,0
PLCAND00066,Arbeia,Arbeia,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,numeri barcariorum Tigrisiensium,,,,,,,,MATCH,EXACT,89104,Arbeia,Arbeia,1
PLCAND00067,Arbore,Arbore,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis Herculeae Pannoniorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00068,Arefa,Arefa,1,Place,Dux Foenicis,Oriens,ala,,Ala secunda Salutis,,,,,,,,UNMATCHED,,,,,0
PLCAND00611,Viennae siue Arelati,Arelati,2,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,classis fluminis Rhodani,,,,,,,,UNMATCHED,,,,,0
PLCAND00069,Areopoli,Areopoli,1,Place,Dux Arabiae,Oriens,equites,,Equites Mauri Illyriciani,,,,,,,,UNMATCHED,,,,,0
PLCAND00070,Arieldela,Arieldela,1,Place,Dux Palaestinae,Oriens,cohort,,Cohors secunda Galatarum,,,,,,,,MATCH,EXACT,746715,Arieldela,Arieldela,1
PLCAND00071,Arlape,Arlape,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,,MATCH,EXACT,118571,Ar(e)lape,Arlape,1
PLCAND00493,scordiscorum et armorum,armorum,2,Place,Insignia viri illustris magistri officiorum,Occidentis,unknown,,Sirmensis scutorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00072,Arrabonae,Arrabonae,1,Place,Dux Pannoniae primae,Occidentis,cuneus,,Cuneus equitum stablesianorum,,,,,,,,MATCH,LATIN_VARIANT,197141,Arrabona,Arrabona,1
PLCAND00073,Arrabonae,Arrabonae,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites promoti,,,,,,,,MATCH,LATIN_VARIANT,197141,Arrabona,Arrabona,1
PLCAND00074,Arrabonae,Arrabonae,1,Place,Dux Pannoniae primae,Occidentis,unknown,Praefectus,legionis decimae et quartaedecimaegeminae geminarum militum liburnariorum,,,,,,,,MATCH,LATIN_VARIANT,197141,Arrabona,Arrabona,1
PLCAND00075,Arrianis,Arrianis,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,,UNMATCHED,,,,,0
PLCAND00076,Arrunto siue Vindomanae,Arrunto,1,Place,Dux Pannoniae primae,Occidentis,unknown,Praefectus,classis Histricae,,,,,,,,UNMATCHED,,,,,0
PLCAND00078,Arsaciana siue Novas,Arsaciana,1,Place,Dux Pannoniae,Occidentis,auxilia,,Auxilia Novensia,,,,,,,,UNMATCHED,,,,,0
PLCAND00080,Arubio,Arubio,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum catafractariorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00081,Arumbernos Aquitanicae primae,Arumbernos Aquitanicae primae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum gentilium Suevorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00082,Asabaia,Asabaia,1,Place,Dux Arabiae,Oriens,cohort,,Cohors prima Thracum,,,,,,,,MATCH,EXACT,699890,Asabaia,Asabaia,1
PLCAND00083,Asfynis,Asfynis,1,Place,Dux Thebaidos,Oriens,equites,,Equites felices Honoriani,,,,,,,,MATCH,EXACT,785978,‘Asfynis’,Asfynis,1
PLCAND00084,Assara,Assara,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites scutarii indigenae Pafenses,,,,,,,,UNMATCHED,,,,,0
PLCAND00085,Asuada,Asuada,1,Place,Dux Palaestinae,Oriens,ala,,Ala prima miliaria Sebastena,,,,,,,,MATCH,EXACT,699891,Asuada,Asuada,1
PLCAND00086,Atrabatis Belgicae secundae,Atrabatis Belgicae secundae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum Batavorum Nemetacensium,,,,,,,,UNMATCHED,,,,,0
PLCAND00087,Au.....,Au,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,Sarmatarum gentilium,,,,,,,,UNMATCHED,,,,,0
PLCAND00088,Auatha,Auatha,1,Place,Dux Arabiae,Oriens,ala,,Ala nona miliaria,,,,,,,,MATCH,EXACT,699892,Auatha,Auatha,1
PLCAND00089,Auatha,Auatha,1,Place,Dux Foenicis,Oriens,equites,,Equites promoto indigenae,,,,,,,,MATCH,EXACT,699892,Auatha,Auatha,1
PLCAND00090,Augustae,Augustae,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum Dalmatarum,,,,,,,,AMBIGUOUS,EXACT,216719 | 471887,Augustae,Augustae,2
PLCAND00091,Augustanis,Augustanis,1,Place,Dux Raetiae,Occidentis,equites,,Equites stablesiani seniores,,,,,,,,UNMATCHED,,,,,0
PLCAND00092,Augustianis,Augustianis,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,,UNMATCHED,,,,,0
PLCAND00093,Aulucos,Aulucos,1,Place,Comes Tingitaniae,Occidentis,unknown,Tribunus,cohortis primae Herculeae,,,,,,,,UNMATCHED,,,,,0
PLCAND00094,Aureomonto,Aureomonto,1,Place,Dux Moesiae primae,Oriens,cuneus,,Cuneus equtum Dalmatarum,,,,,,,,UNMATCHED,,,,,0
PLCAND00095,Austuris,Austuris,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,,UNMATCHED,,,,,0
PLCAND00096,Axeloduno,Axeloduno,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Hispanorum,,,,,,,,MATCH,EXACT,89307,Uxelodu(nu)m,Axeloduno,1
PLCAND00097,Axiupoli,Axiupoli,1,Place,Dux Scythiae,Oriens,milites,,Milites superventores,,,,,,,,UNMATCHED,,,,,0
PLCAND00098,Axiupoli,Axiupoli,1,Place,Dux Scythiae,Oriens,unknown,Praefectus,ripae legionis secundae Herculiae cohortis quintae pedaturae inferioris,,,,,,,,UNMATCHED,,,,,0
PLCAND00099,Babilona,Babilona,1,Place,Comes limitis Aegypti,Oriens,legion,,Legio tertiadecima gemina,,,,,,,,UNMATCHED,,,,,0
PLCAND00100,Baiocas et Constantiae Lugdunensis secundae,Baiocas,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum Batavorum et gentilium Sueuorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00102,balistaria et clibanaria,balistaria,1,Place,Insignia viri illustris magistri officiorum,Occidentis,unknown,,Augustodunensis loricaria,,,,,,,,UNMATCHED,,,,,0
PLCAND00104,Banasam,Banasam,1,Place,Dux Osrhoenae,Oriens,equites,,Equites promoti indigenae,,,,,,,,MATCH,EXACT,876582,Banasam,Banasam,1
PLCAND00105,Barbalisso,Barbalisso,1,Place,Dux Syriae,Oriens,equites,,Equites Dalmatae Illyriciani,,,,,,,,UNMATCHED,,,,,0
PLCAND00106,Barboniaco,Barboniaco,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,numeri defensorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00107,Batavis,Batavis,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis novae Batavorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00108,Belgicae primae,Belgicae primae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator gynaecii Triberorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00109,Belgicae secundae,Belgicae secundae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator gynaecii Remensis,,,,,,,,UNMATCHED,,,,,0
PLCAND00110,Benetis,Benetis,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Maurorum Benetorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00111,Benosabae,Benosabae,1,Place,Dux Palaestinae,Oriens,equites,,Equites Dalmatae Illyriciani,,,,,,,,UNMATCHED,,,,,0
PLCAND00112,Bethallaha,Bethallaha,1,Place,Dux Mesopotamiae,Oriens,cohort,,Cohors quinquagenaria Arabum,,,,,,,,MATCH,EXACT,876591,Bethallaha,Bethallaha,1
PLCAND00113,Betproclis,Betproclis,1,Place,Dux Foenicis,Oriens,equites,,Equites Saraceni indigenae,,,,,,,,MATCH,EXACT,668212,Betproclis,Betproclis,1
PLCAND00114,Betthoro,Betthoro,1,Place,Dux Arabiae,Oriens,unknown,Praefectus,legionis quartae Martiae,,,,,,,,UNMATCHED,,,,,0
PLCAND00115,Bingio,Bingio,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum Bingensium,,,,,,,,UNMATCHED,,,,,0
PLCAND00116,Bireo,Bireo,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum stablesianorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00117,Birsama,Birsama,1,Place,Dux Palaestinae,Oriens,equites,,Equites Thamudeni Illyriciani,,,,,,,,MATCH,EXACT,687864,Birsama,Birsama,1
PLCAND00118,Blabia,Blabia,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Carronensium,,,,,,,,UNMATCHED,,,,,0
PLCAND00119,Bodobrica,Bodobrica,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum balistariorum,,,,,,,,MATCH,EXACT,108817,Bodobrica,Bodobrica,1
PLCAND00120,Boiodoro,Boiodoro,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,,UNMATCHED,,,,,0
PLCAND00121,Bononia,Bononia,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum Dalmatarum Fortensium,,,,,,,,AMBIGUOUS,EXACT,109008 | 206975 | 393421,Bononia | Felsina/Bononia | Gesoriacum/Bononia,Bononia,3
PLCAND00122,Bononiae,Bononiae,1,Place,Dux Pannoniae,Occidentis,unknown,Praefectus,legionis quintae Ioviae cohortis quintae partis superioris,,,,,,,,AMBIGUOUS,LATIN_VARIANT,109008 | 206975 | 393421,Bononia | Felsina/Bononia | Gesoriacum/Bononia,Bononia,3
PLCAND00123,Bononiae in Aemilia,Bononiae in Aemilia,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,Sarmatarum gentilium,,,,,,,,UNMATCHED,,,,,0
PLCAND00124,Bonoriae,Bonoriae,1,Place,Dux Pannoniae,Occidentis,equites,,Equites Dalmatae,,,,,,,,UNMATCHED,,,,,0
PLCAND00125,Borcovicio,Borcovicio,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Tungrorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00126,Bostra,Bostra,1,Place,Dux Arabiae,Oriens,unknown,Praefectus,legionis tertiae Cyrenaicae,,,,,,,,MATCH,EXACT,678073,Bostra/Col. Nova Traiana Alexandriana,Bostra,1
PLCAND00127,Branoduno,Branoduno,1,Place,Comes litoris Saxonici per Britanniam,Occidentis,unknown,Praepositus,equitum Dalmatarum Branodunensium,,,,,,,,UNMATCHED,,,,,0
PLCAND00185,Confluentibus siue Brecantia,Brecantia,2,Place,Dux Raetiae,Occidentis,unknown,Praefectus,numeri barbaricariorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00128,Bregtione,Bregtione,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Praefectus,legionis primae adiutricis cohortis quintae partis superioris,,,,,,,,UNMATCHED,,,,,0
PLCAND00129,Bremetenraco,Bremetenraco,1,Place,Dux Britanniarum,Occidentis,cuneus,,Cuneus Sarmatarum,,,,,,,,UNMATCHED,,,,,0
PLCAND00130,Burgenas,Burgenas,1,Place,Dux Pannoniae,Occidentis,cuneus,,Cuneus equitum Constantianorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00131,Burgenas,Burgenas,1,Place,Dux Pannoniae,Occidentis,unknown,Praefectus,legionis quintae Ioviae,,,,,,,,UNMATCHED,,,,,0
PLCAND00132,Burgentas,Burgentas,1,Place,Dux Pannoniae,Occidentis,equites,,Equites Dalmatae,,,,,,,,UNMATCHED,,,,,0
PLCAND00133,Burgo Novo,Burgo Novo,1,Place,Dux Daciae ripensis,Oriens,unknown,Praefectus,legionis tertiaedecimae geminae,,,,,,,,UNMATCHED,,,,,0
PLCAND00134,Burgo Severi,Burgo Severi,1,Place,Dux Thebaidos,Oriens,cohort,,Cohors nona Alamannorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00135,Burgo Zono,Burgo Zono,1,Place,Dux Daciae ripensis,Oriens,auxilia,,Auxilium secundorum Daciscorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00136,Busiris,Busiris,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors secunda Astarum,,,,,,,,UNMATCHED,,,,,0
PLCAND00137,Caballoduno,Caballoduno,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,classis Araricae,,,,,,,,UNMATCHED,,,,,0
PLCAND00138,Caelio,Caelio,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis tertiae Herculeae Pannoniorum,,,,,,,,UNMATCHED,,,,,0
PLCAND00139,Caene - Parembole,Caene,1,Place,Dux Armeniae,Oriens,cohort,,Cohors prima Lepidiana,,,,,,,,UNMATCHED,,,,,0
PLCAND00141,Caesarea Cappadociae,Caesarea Cappadociae,1,Place,Insignia viri illustris magistri officiorum,Oriens,unknown,,Clibanaria,,,,,,,,UNMATCHED,,,,,0
PLCAND00142,Caini,Caini,1,Place,Dux Mesopotamiae,Oriens,ala,,Ala quintadecima Flavia Carduenorum,,,,,,,,MATCH,EXACT,876602,Caini,Caini,1
PLCAND00143,Calabriae,Calabriae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator bafii Tarentini,,,,,,,,AMBIGUOUS,LATIN_VARIANT,236397 | 442518,Calabria | Caliabriga/Calabria,Calabria,2
PLCAND00144,Calamona,Calamona,1,Place,Dux Foenicis,Oriens,equites,,Equites sagittarii indigenae,,,,,,,,AMBIGUOUS,EXACT,682534 | 699894,Calamona,Calamona,2
PLCAND00145,Calamona,Calamona,1,Place,Dux Palaestinae,Oriens,cohort,,Cohors prima equitata,,,,,,,,AMBIGUOUS,EXACT,682534 | 699894,Calamona,Calamona,2
PLCAND00146,Calaronae,Calaronae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Tribunus,cohortis primae Flaviae Sapaudicae,,,,,,,,UNMATCHED,,,,,0
PLCAND00147,Callinico,Callinico,1,Place,Dux Osrhoenae,Oriens,equites,,Equites promoti Illyriciani,,,,,,,,UNMATCHED,,,,,0
PLCAND00148,Cambidano,Cambidano,1,Place,Dux Raetiae,Occidentis,unknown,Praefectus,legionis tertiae Italicae pro parte media praetendentis a Vimania Cassiliacum usque,,,,,,,,UNMATCHED,,,,,0
PLCAND00149,Campona,Campona,1,Place,Dux provinciae Valeriae,Occidentis,equites,,Equites Dalmatae,,,,,,,,MATCH,EXACT,197187,Campona,Campona,1
PLCAND00150,Candidiana,Candidiana,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites primi Moesiaci,,,,,,,,MATCH,EXACT,216896,Nigrinianis/Candidiana,Candidiana,1
PLCAND00151,Cannabiaca,Cannabiaca,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,,MATCH,EXACT,128375,Cannabiaca?,Cannabiaca,1
PLCAND00152,Capidaua,Capidaua,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum Solensium,,,,,,,,UNMATCHED,,,,,0
