placeId,placeName,nodeType,office,unit,chapter,document
PLC00614,Nouas,unknown,Praefectus,legionis primae Italicae,Dux Moesiae secundae,Oriens
PLC00615,Nouas,unknown,Praefectus,ripae legionis primae Italicae cohortis quintae pedaturae superioris,Dux Moesiae secundae,Oriens
PLC00592,Nouioduno,unknown,Praefectus,legionis primae Ioviae,Dux Scythiae,Oriens
PLC00593,Nouioduno,unknown,Praefectus,ripae legionis primae Ioviae cohortis quintae pedaturae superioris,Dux Scythiae,Oriens
PLC00586,Nouioduro,milites,,Milites primi Constantini,Dux Scythiae,Oriens
PLC00295,Novariae,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00073,Novas,equites,,Equites Dalmatae,Dux Pannoniae,Occidentis
PLC00284,Noviomago Belgicae secundae,unknown,Praefectus,laetorum Batavorum Contraginnensium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00643,Novis,unknown,Praefectus,militum exploratorum,Dux Moesiae primae,Oriens
PLC00176,nunc Febians,equites,,"Equites stablesiani iuniores, Ponte Aoni",Dux Raetiae,Occidentis
PLC00275,nunc Iuliobriga,unknown,Tribunus,"cohortis Celtiberae, Brigantiae",Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00178,nunc Vallato,unknown,Praefectus,"legionis tertiae Italicae partis superioris, Castra Regina",Dux Raetiae,Occidentis
PLC00127,nune Ad Statuas,auxilia,,"Auxilia Ursarensia, Pone Navata",Dux provinciae Valeriae,Occidentis
PLC00107,nune Conradcuha,cuneus,,"Cuneus equitum stablesianorum, Ripa Alta",Dux provinciae Valeriae,Occidentis
PLC00124,nune in burgo contra Florentiam,equites,,"Equites sagittarii, Altino",Dux provinciae Valeriae,Occidentis
PLC00106,nune Intercisa,cuneus,,"Cuneus equitum Constantianorum, Lusionio",Dux provinciae Valeriae,Occidentis
PLC00407,Oasi maiore,ala,,Ala prima Abasgorum,Dux Thebaidos,Oriens
PLC00354,Oasi minore,ala,,Ala secunda Armeniorum,Comes limitis Aegypti,Oriens
PLC00408,Oasi minore - Trimtheos,ala,,Ala prima Quadorum,Dux Thebaidos,Oriens
PLC00447,Occariba,equites,,Equites promoti Illyriciani,Dux Syriae,Oriens
PLC00109,Odiabo,equites,,Equites Dalmatae,Dux provinciae Valeriae,Occidentis
PLC00662,Oesco,auxilia,,Auxilium Mariensium,Dux Daciae ripensis,Oriens
PLC00668,Oesco,unknown,Praefectus,legionis quintae Macedonicae,Dux Daciae ripensis,Oriens
PLC00246,Olenaco,unknown,Praefectus,alae primae Herculeae,Dux Britanniarum,Occidentis
PLC00197,Olitione,milites,,Milites Latavienses,Dux provinciae Sequanici,Occidentis
PLC00385,Ombos,legion,,Legio tertia Diocletiana,Dux Thebaidos,Oriens
PLC00442,Oneuatha,cohort,,Cohors quinta pacta Alamannorum,Dux Foenicis,Oriens
PLC00311,operum alter,unknown,,Numerarii quatuor; in his auri unus,Insignia viri illustris praefecti praetorio per Illyricum,Oriens
PLC00289,Opittergii,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00005,or the legiones,unknown,,Constantiniani.[same as Constantiaci,Qui numeri ex praedictis per infrascriptas provincias habeantur:,Occidentis
PLC00498,Oraba,equites,,Equites sagittarii indigenae,Dux Osrhoenae,Oriens
PLC00453,Oresa,unknown,Praefectus,legionis quartae Scythicae,Dux Syriae,Oriens
PLC00201,Osismis,unknown,Praefectus,militum Maurorum Osismiacorum,Dux tractus Armoricani,Occidentis
PLC00056,Othonae,unknown,Praepositus,numeri Fortensium,Comes litoris Saxonici per Britanniam,Occidentis
PLC00420,Otthara,equites,,Equites Mauri Illyriciani,Dux Foenicis,Oriens
PLC00051,Pacatiana,unknown,Tribunus,cohortis Pacatianensis,Comes Tingitaniae,Occidentis
PLC00272,Paetaonio,unknown,Tribunus,cohortis secundae Flaviae Pacatianae,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00432,Palmira,unknown,Praefectus,legionis primae Illyricorum,Dux Foenicis,Oriens
PLC00404,Pampane,ala,,Ala prima Iovia catafractariorum,Dux Thebaidos,Oriens
PLC00016,Pannoniae primae,unknown,Praepositus,thesaurorum Sabariensium,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00021,Pannoniae secundae,civil,,Procurator gynaecii Sirmensis,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00020,Pannoniae secundae - translati Salonis,civil,,Procurator gynaecii Bassianensis,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00353,Parembole,legion,,Legio secunda Traiana,Comes limitis Aegypti,Oriens
PLC00270,Parisius,unknown,Praefectus,classis Anderetianorum,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00189,Parroduno,unknown,Tribunus,cohortis primae Herculeae Raetorum,Dux Raetiae,Occidentis
PLC00290,Patauio,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00413,Peamu,cohort,,Cohors undecima Chamauorum,Dux Thebaidos,Oriens
PLC00350,Pelusio,equites,,Equites stablesiani,Comes limitis Aegypti,Oriens
PLC00304,per tractum Rodunensem et Alaunorum,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00396,Pescla,ala,,Ala Germanorum,Dux Thebaidos,Oriens
PLC00236,Petrianis,unknown,Praefectus,alae Petrianae,Dux Britanniarum,Occidentis
PLC00301,Pictavis,unknown,Praefectus,Sarmatarum et Taifalorum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00624,Pinco,cuneus,,Cuneus equtum Constantacorum,Dux Moesiae primae,Oriens
PLC00630,Pinco,cuneus,,Cuneus equtum Dalmatarum,Dux Moesiae primae,Oriens
PLC00190,Pinianis,unknown,Tribunus,cohortis quintae Valeriae Frygum,Dux Raetiae,Occidentis
PLC00567,Pithiae,ala,,Ala prima felix Theodosiana,Dux Armeniae,Oriens
PLC00395,Poisrietemidos,ala,,Ala secunda Hispanorum,Dux Thebaidos,Oriens
PLC00225,Ponte Aeli,unknown,Tribunus,cohortis primae Cornoviorum,Dux Britanniarum,Occidentis
PLC00210,Portu Epatiaci,unknown,Tribunus,militum Neruiorum,Dux Belgicae secundae,Occidentis
PLC00064,Portum Adurni,unknown,Praepositus,numeri exploratorum,Comes litoris Saxonici per Britanniam,Occidentis
PLC00211,Praesidio,unknown,Praefectus,equitum Dalmatarum,Dux Britanniarum,Occidentis
PLC00485,Praesidio,cohort,,Cohors quarta Frygium,Dux Palaestinae,Oriens
PLC00409,Precteos,ala,,Ala prima Valeria dromedariorum,Dux Thebaidos,Oriens
