placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000056,,OCC000056,Mettis,108927,Mettis,49.11605,6.172677,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,gynaecii Augustoduno translati Mettis,810,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BELGICA I,,,,
OCC000059,,OCC000059,Ravennatis,393480,Ravenna,44.415718,12.196604,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,linyfii Ravennatis,814,REGION_EXACT,confirmed,REGION_MATCH,AEMILIA ET LIGURIA,,,,ITALIA
OCC000060,,OCC000060,Tarentini,442810,Tarentum,40.469229,17.240045,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,bafii Tarentini,816,CONTEXT_NEAR_EXACT,confirmed,HARD_NEAR_MATCH,,Calabriae,Calabriae,,
OCC000061,,OCC000061,Salonitani,197488,Salona,43.539561,16.483426,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,bafii Salonitani,817,CONTEXT_EXACT,confirmed,HARD_MATCH,DALMATIA,Dalmatiae,Dalmatiae,,
OCC000063,,OCC000063,Syracusani,462503,Syracusae,37.0738645,15.2718869278,,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Procurator,bafii Syracusani,819,CONTEXT_EXACT,confirmed,HARD_MATCH,SICILIA,Siciliae,Siciliae,,
OCC000068,,OCC000068,Arelatensium,148217,Col. Arelate,43.677616,4.630799,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,branbaricariorum siue argentariorum Arelatensium,826,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,VIENNENSIS,,,,
OCC000069,,OCC000069,Remensium,109275,Remi,49.2561547,4.0320509,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,branbaricariorum siue argentariorum Remensium,827,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BELGICA II,,,,
OCC000070,,OCC000070,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris comitis sacrarum largitionum,Praepositus,branbaricariorum siue argentariorum Triberorum,828,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BELGICA I,,,,
OCC000071,,OCC000071,Triberorum,108894,Col. Augusta Treverorum,49.753731,6.646217,unknown,Occidentis,Insignia viri illustris comitis privatarum,Procurator,rei privatae gynaeciorum Triberorum,877,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BELGICA I,,,,
OCC000074,,OCC000074,Montensis,334579,Limes Montensis,34.5,7.5,unknown,Occidentis,Comes Africae,Praepositus,limitis Montensis in castris Leptitanis,1080,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,NUMIDIA MILITIANA,,,,
OCC000075,,OCC000075,Leptitanis,344448,Lepcitani,32.636748,14.2922,unknown,Occidentis,Comes Africae,Praepositus,limitis Montensis in castris Leptitanis,1080,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,TRIPOLITANA,,,,
OCC000076,,OCC000076,Bazensis,334577,Limes Bazensis,34.5,6.5,unknown,Occidentis,Comes Africae,Praepositus,limitis Bazensis,1081,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,NUMIDIA MILITIANA,,,,
OCC000077,,OCC000077,Gemellensis,334578,Limes Gemellensis,34.5,5.5,unknown,Occidentis,Comes Africae,Praepositus,limitis Gemellensis,1082,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,NUMIDIA MILITIANA,,,,
OCC000078,,OCC000078,Tubuniensis,334580,Limes Tubunensis,35.5,5.5,unknown,Occidentis,Comes Africae,Praepositus,limitis Tubuniensis,1083,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,MAURETANIA SITIFENSIS,,,,
OCC000083,,OCC000083,Columnatensis,285430,Columnata,35.470067,1.521582,unknown,Occidentis,Comes Africae,Praepositus,limitis Columnatensis,1088,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,MAURETANIA CAESARIENSIS,,,,
OCC000091,,OCC000091,Tamuco,275732,Tamucus,35.559201,-5.411197,unknown,Occidentis,Comes Tingitaniae,Praefectus,alae Herculeae,1110,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,MAURETANIA TINGITANA,,,,
OCC000098,,OCC000098,Friglas,275629,Friglas,34.96001,-6.150002,unknown,Occidentis,Comes Tingitaniae,Tribunus,cohortis Friglensis,1117,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,MAURETANIA TINGITANA,,,,
OCC000099,,OCC000099,Othonae,79631,Othona,51.724124,0.900334,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,numeri Fortensium,1137,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BRITANNIAE I AND II,,,,
OCC000102,,OCC000102,Branoduno,79346,Branodunum,52.962911,0.636879,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,equitum Dalmatarum Branodunensium,1140,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BRITANNIAE I AND II,,,,
OCC000104,,OCC000104,Regulbio,79654,Regulbium,51.379537,1.199796,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Tribunus,cohortis primae Baetasiorum,1142,EXACT_NO_CONTEXT,confirmed,NO_POLYGON,,,,,
OCC000106,,OCC000106,Anderidos,79293,Anderidos,50.819309,0.334063,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,numeri Abulcorum,1144,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,BRITANNIAE I AND II,,,,
OCC000107,,OCC000107,Portum Adurni,79645,Portus Adurni,50.838011,-1.114417,unknown,Occidentis,Comes litoris Saxonici per Britanniam,Praepositus,numeri exploratorum,1145,FUZZY_NO_CONTEXT,confirmed,NO_POLYGON,,,,,
OCC000108,,OCC000108,Columnatensis,285430,Columnata,35.470067,1.521582,unknown,Occidentis,Dux et praeses provinciae Mauritaniae,Praepositus,limitis Columnatensis,1173,CONTEXT_EXACT,confirmed,SOFT_MATCH,MAURETANIA CAESARIENSIS,et praesidis provinciae Mauritaniae et Caesariensis,,et praesidis provinciae Mauritaniae et Caesariensis,
OCC000109,,OCC000109,Vidensis,197400,Vid,43.046389,17.598611,settlement,Occidentis,Dux et praeses provinciae Mauritaniae,Praepositus,limitis Vidensis,1174,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,DALMATIA,et praesidis provinciae Mauritaniae et Caesariensis,,et praesidis provinciae Mauritaniae et Caesariensis,
OCC000116,,OCC000116,Talalatensis,344498,Talalati,32.127233,13.099991,unknown,Occidentis,Dux provinciae Tripolitanae,Praepositus,limitis Talalatensis,1195,CONTEXT_EXACT,confirmed,SOFT_MATCH,TRIPOLITANA,Tripolitanae,,Tripolitanae,
OCC000119,,OCC000119,Tillibarensis,344516,Tillibari,32.31633,10.399072,unknown,Occidentis,Dux provinciae Tripolitanae,Praepositus,limitis Tillibarensis,1198,CONTEXT_EXACT,confirmed,SOFT_MATCH,TRIPOLITANA,Tripolitanae,,Tripolitanae,
