occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000035,Occidentis,Insignia viri illustris comitis sacrarum largitionum,792,Aquileiensis,unit,Procurator,monetae Aquileiensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum
OCC000036,Occidentis,Insignia viri illustris comitis sacrarum largitionum,793,Romae,unit,Procurator,monetae urbis Romae,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum
OCC000037,Occidentis,Insignia viri illustris comitis sacrarum largitionum,794,Lugdunensis,unit,Procurator,monetae Lugdunensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum
OCC000038,Occidentis,Insignia viri illustris comitis sacrarum largitionum,795,Arelatensis,unit,Procurator,monetae Arelatensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum
OCC000039,Occidentis,Insignia viri illustris comitis sacrarum largitionum,796,Triberorum,unit,Procurator,monetae Triberorum,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores monetarum
OCC000040,Occidentis,Insignia viri illustris comitis sacrarum largitionum,798,Bassianensis,unit,Procurator,gynaecii Bassianensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000041,Occidentis,Insignia viri illustris comitis sacrarum largitionum,798,Salonis,transfer,Procurator,gynaecii Bassianensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000042,Occidentis,Insignia viri illustris comitis sacrarum largitionum,799,Sirmensis,unit,Procurator,gynaecii Sirmensis,Pannoniae secundae,,Pannoniae secundae,,Pannoniae secundae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000043,Occidentis,Insignia viri illustris comitis sacrarum largitionum,800,Iovensis,unit,Procurator,gynaecii Iovensis Dalmatiae - Aspalato,dalmatiae,,dalmatiae,,dalmatiae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000044,Occidentis,Insignia viri illustris comitis sacrarum largitionum,800,Aspalato,transfer,Procurator,gynaecii Iovensis Dalmatiae - Aspalato,dalmatiae,,dalmatiae,,dalmatiae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000045,Occidentis,Insignia viri illustris comitis sacrarum largitionum,801,Aquileiensis,unit,Procurator,gynaecii Aquileiensis,Venetiae inferioris,,Venetiae inferioris,,Venetiae inferioris,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000046,Occidentis,Insignia viri illustris comitis sacrarum largitionum,802,Mediolanensis,unit,Procurator,gynaecii Mediolanensis,Liguriae,,Liguriae,,Liguriae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000047,Occidentis,Insignia viri illustris comitis sacrarum largitionum,803,Romae,unit,Procurator,gynaecii urbis Romae,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000048,Occidentis,Insignia viri illustris comitis sacrarum largitionum,804,Canusini,unit,Procurator,gynaecii Canusini et Venusini,Apuliae,,Apuliae,,Apuliae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000049,Occidentis,Insignia viri illustris comitis sacrarum largitionum,804,Venusini,unit,Procurator,gynaecii Canusini et Venusini,Apuliae,,Apuliae,,Apuliae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000050,Occidentis,Insignia viri illustris comitis sacrarum largitionum,805,Carthagiensis,unit,Procurator,gynaecii Carthagiensis,,,,,,AFRICA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000051,Occidentis,Insignia viri illustris comitis sacrarum largitionum,806,Arelatiensis,unit,Procurator,gynaecii Arelatiensis,Viennensis,,Viennensis,,Viennensis,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000052,Occidentis,Insignia viri illustris comitis sacrarum largitionum,807,Lugdunensis,unit,Procurator,gynaecii Lugdunensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000053,Occidentis,Insignia viri illustris comitis sacrarum largitionum,808,Remensis,unit,Procurator,gynaecii Remensis,Belgicae secundae,,Belgicae secundae,,Belgicae secundae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000054,Occidentis,Insignia viri illustris comitis sacrarum largitionum,809,Triberorum,unit,Procurator,gynaecii Triberorum,Belgicae primae,,Belgicae primae,,Belgicae primae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000055,Occidentis,Insignia viri illustris comitis sacrarum largitionum,810,Augustoduno,unit,Procurator,gynaecii Augustoduno translati Mettis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000056,Occidentis,Insignia viri illustris comitis sacrarum largitionum,810,Mettis,transfer,Procurator,gynaecii Augustoduno translati Mettis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000057,Occidentis,Insignia viri illustris comitis sacrarum largitionum,811,Ventensis,unit,Procurator,gynaecii (in Britannis) Ventensis,,,,,,Britannis,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores gynaeciorum
OCC000058,Occidentis,Insignia viri illustris comitis sacrarum largitionum,813,Viennensis,unit,Procurator,linyfii Viennensis,,,,,,Galliarum,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores linyfiorum
OCC000059,Occidentis,Insignia viri illustris comitis sacrarum largitionum,814,Ravennatis,unit,Procurator,linyfii Ravennatis,,,,,,ITALIA,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores linyfiorum
OCC000060,Occidentis,Insignia viri illustris comitis sacrarum largitionum,816,Tarentini,unit,Procurator,bafii Tarentini,Calabriae,,Calabriae,,Calabriae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
