gisProvince	canonicalName	geojsonId	notitiaMatch
VENETIA ET HISTRIA	VENETIA ET HISTRIA	80	Venetiae et Histriae
VIENNENSIS	VIENNENSIS	78	Viennensis
AEGYPTUS HERCULIA	AEGYPTUS HERCULIA	6	Aegypti
AEGYPTUS IOVIA	AEGYPTUS IOVIA	5	Aegypti
AEMILIA ET LIGURIA	AEMILIA ET LIGURIA	77	
AFRICA PROCONSULARIS	AFRICA PROCONSULARIS	15	
ALPES COTTIAE	ALPES COTTIAE	67	
ARABIA	ARABIA	16	
ARMENIA MINOR	ARMENIA MINOR	64	Armenia
AUGUSTA EUPHRATENSIS	AUGUSTA EUPHRATENSIS	41	
AUGUSTA LIBANENSIS	AUGUSTA LIBANENSIS	20	
BRITANNIAE I AND II	BRITANNIAE I AND II	96	Britanniae
CAPPADOCIA	CAPPADOCIA	51	
CARTBAGINIENSIS	CARTBAGINIENSIS	48	Cartaginiensis
DALMATIA	DALMATIA	72	
DIOSPONTUS	DIOSPONTUS	68	
ISAURIA	ISAURIA	27	
LYCIA ET PAMPHYLIA	LYCIA ET PAMPHYLIA	24	Lyciae et Pamphyliae
MAURETANIA CAESARIENSIS	MAURETANIA CAESARIENSIS	12	
MAURETANIA SITIFENSIS	MAURETANIA SITIFENSIS	10	
MAURETANIA TINGITANA	MAURETANIA TINGITANA	14	
MOESIA INFERIOR	MOESIA INFERIOR	74	Moesiae
MOESIA SUPERIOR	MOESIA SUPERIOR	70	Mosiae
NORICUM MEDITERRANEUM	NORICUM MEDITERRANEUM	82	
NORICUM RIPENSE	NORICUM RIPENSE	89	
NUMIDIA CIRTENSIS	NUMIDIA CIRTENSIS	13	
NUMIDIA MILITIANA	NUMIDIA MILITIANA	8	Numidiae
PANNONIA INFERIOR	PANNONIA INFERIOR	76	Pannonia
PANNONIA SUPERIOR	PANNONIA SUPERIOR	86	Pannonia
PHRYGIA I	PHRYGIA I	36	Frygiae Pacatianae
PHRYGIA II	PHRYGIA II	40	Frygiae salutaris
RAETIA	RAETIA	90	
SYRIA COELE	SYRIA COELE	26	Syriae
TARRACONENSIS	TARRACONENSIS	61	
TRIPOLITANA	TRIPOLITANA	4	
