occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText,candidateRank,pleiadesId,pleiadesName,candidate,rule,tier,latitude,longitude,featureType,gisProvince,geojsonId,nearestProvince,nearestGeojsonId,nearestKm,nameSimilarity,contextStatus,contextScore,similarity
OCC000209,Occidentis,Dux provinciae Valeriae,1314,Marinanae,tail,Tribunus,cohortis,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis,1,265965,Mariana,Marinana,original_case,0,38.547361,-2.92748,unknown,CARTBAGINIENSIS,48,,,,0.875,SOFT_MISMATCH,0.349,0.875
OCC000209,Occidentis,Dux provinciae Valeriae,1314,Marinanae,tail,Tribunus,cohortis,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis,2,472096,Mariana,Marinana,original_case,0,42.539302,9.495496,settlement,CORSICA,46,,,,0.875,SOFT_MISMATCH,0.134,0.875
OCC000214,Occidentis,Dux Pannoniae primae,1332,Quadriburgio,tail,,Equites sagittarii,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,1,109266,Quadriburgium,Quadriburgium,original_case,0,51.775902,6.180328,unknown,GERMANIA II,95,,,,1.0,SOFT_MISMATCH,0.250,1.000
OCC000214,Occidentis,Dux Pannoniae primae,1332,Quadriburgio,tail,,Equites sagittarii,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,2,203151,Quadriburgium,Quadriburgium,original_case,0,,,unknown,,,,,,1.0,SOFT_UNVERIFIED,0.000,1.000
OCC000214,Occidentis,Dux Pannoniae primae,1332,Quadriburgio,tail,,Equites sagittarii,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,3,211453,Quadriburgium,Quadriburgium,original_case,0,,,unknown,,,,,,1.0,SOFT_UNVERIFIED,0.000,1.000
OCC000217,Occidentis,Dux Pannoniae primae,1335,Ad Herculem,tail,,Equites Dalmatae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,1,471877,Ad Herculem,Ad Herculem,original,0,40.781624,8.662883,unknown,SARDINIA,34,,,,1.0,SOFT_MISMATCH,0.333,1.000
OCC000217,Occidentis,Dux Pannoniae primae,1335,Ad Herculem,tail,,Equites Dalmatae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,2,471943,Herculis,Herculis,strip_preposition_case,0,41.066667,8.266667,island,,,SARDINIA,34,14.55,1.0,SOFT_NEAR_MISMATCH,0.333,1.000
OCC000217,Occidentis,Dux Pannoniae primae,1335,Ad Herculem,tail,,Equites Dalmatae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,3,206880,Ad Herculem,Ad Herculem,original,0,43.166746,21.771868,unknown,DACIA MEDITERRANEA,58,,,,1.0,SOFT_MISMATCH,0.264,1.000
OCC000217,Occidentis,Dux Pannoniae primae,1335,Ad Herculem,tail,,Equites Dalmatae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,4,255953,Ad Herculem,Ad Herculem,original,0,36.351621,-6.163431,unknown,BAETICA,25,,,,1.0,SOFT_MISMATCH,0.194,1.000
OCC000217,Occidentis,Dux Pannoniae primae,1335,Ad Herculem,tail,,Equites Dalmatae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,5,256201,Herculis,Herculis,strip_preposition_case,0,37.5,-6.5,unknown,BAETICA,25,,,,1.0,SOFT_MISMATCH,0.194,1.000
OCC000218,Occidentis,Dux Pannoniae primae,1336,Gerolate,tail,,Equites sagittarii,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,1,207130,Gerulatis,Gerolatis,original_case,0,44.463517,22.250032,unknown,DACIA RIPENSIS,71,,,,0.8888888888888888,SOFT_MISMATCH,0.554,0.889
OCC000221,Occidentis,Dux Pannoniae primae,1340,Vindomarae,tail,Praefectus,legionis decimae geminae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,1,89314,Vindomora,Vindomara,original_case,0,54.89414,-1.840139,unknown,BRITANNIAE I AND II,96,,,,0.8888888888888888,SOFT_MISMATCH,0.333,0.889
OCC000226,Occidentis,Dux Pannoniae primae,1344,Arrianis,tail,Tribunus,cohortis,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,1,481704,Agrianes,Arrianes,original_case,0,42.5,22.5,unknown,DACIA MEDITERRANEA,58,,,,0.875,SOFT_MISMATCH,0.264,0.875
OCC000226,Occidentis,Dux Pannoniae primae,1344,Arrianis,tail,Tribunus,cohortis,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,2,511142,Agrianes,Arrianes,original_case,0,41.25,27.25,unknown,EUROPA,52,,,,0.875,SOFT_MISMATCH,0.139,0.875
OCC000238,Occidentis,Dux Pannoniae primae,1359,Boiodoro,tail,Tribunus,cohortis,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis,1,118606,Boiodurum,Boiodorum,original_case,0,48.57352,13.463926,unknown,RAETIA,90,,,,0.8888888888888888,SOFT_MISMATCH,0.264,0.889
OCC000271,Occidentis,Dux tractus Armoricani,1429,Constantia,tail,Praefectus,militum primae Flaviae,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,1,187352,Constantia,Constantia,original,0,47.661288,9.172064,unknown,RAETIA,90,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000271,Occidentis,Dux tractus Armoricani,1429,Constantia,tail,Praefectus,militum primae Flaviae,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,2,668190,Constantia,Constantia,original,0,34.909961,35.878069,unknown,PHOENICE,19,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000271,Occidentis,Dux tractus Armoricani,1429,Constantia,tail,Praefectus,militum primae Flaviae,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,3,682538,Constantia,Constantia,original,0,,,unknown,,,,,,1.0,NO_POLYGON,0.000,1.000
OCC000271,Occidentis,Dux tractus Armoricani,1429,Constantia,tail,Praefectus,militum primae Flaviae,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,4,687903,Constantia,Constantia,original,0,31.530845,34.433158,unknown,,,PALAESTINA,11,0.42,1.0,NO_POLYGON,0.000,1.000
OCC000271,Occidentis,Dux tractus Armoricani,1429,Constantia,tail,Praefectus,militum primae Flaviae,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,5,69494,Constantia,Constantia,original,0,49.0487,-1.44444,unknown,LUGDUNENSIS II,91,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000272,Occidentis,Dux tractus Armoricani,1430,Rotomago,tail,Praefectus,militum Ursariensium,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,1,109287,Rotomagus,Rotomagus,original_case,0,49.441459,1.097921,unknown,LUGDUNENSIS II,91,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000272,Occidentis,Dux tractus Armoricani,1430,Rotomago,tail,Praefectus,militum Ursariensium,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,2,138543,Rotomagus,Rotomagus,original_case,0,47.259024,0.57529,unknown,LUGDUNENSIS II,91,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000273,Occidentis,Dux tractus Armoricani,1431,Abrincatis,tail,Praefectus,militum Dalmatarum,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,1,69518,Abrincas,Abrinca,toponymic_atis,1,48.683522,-1.355466,unknown,LUGDUNENSIS II,91,,,,0.875,NO_CONTEXT,0.000,0.875
OCC000274,Occidentis,Dux tractus Armoricani,1432,Grannono,tail,Praefectus,militum Grannonensium,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani,1,138377,Grannona,Grannono,original,0,47.5,-2.5,unknown,,,LUGDUNENSIS II,91,1.27,0.875,NO_POLYGON,0.000,0.875
OCC000279,Occidentis,Dux Britanniarum,1471,Praesidio,tail,Praefectus,equitum Dalmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum,1,344500,Praesidium,Praesidium,original_case,0,33.152115,11.472098,unknown,TRIPOLITANA,4,,,,1.0,SOFT_MISMATCH,0.364,1.000
