placeName,candidate,candidateType,chapter,document,office,unit
Bregtione,Bregtione,Place,Dux provinciae Valeriae,Occidentis,Praefectus,legionis primae adiutricis cohortis quintae partis superioris
Bremetenraco,Bremetenraco,Place,Dux Britanniarum,Occidentis,,Cuneus Sarmatarum
Burgenas,Burgenas,Place,Dux Pannoniae,Occidentis,,Cuneus equitum Constantianorum
Burgenas,Burgenas,Place,Dux Pannoniae,Occidentis,Praefectus,legionis quintae Ioviae
Burgentas,Burgentas,Place,Dux Pannoniae,Occidentis,,Equites Dalmatae
Burgo Novo,Burgo Novo,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis tertiaedecimae geminae
Burgo Severi,Burgo Severi,Place,Dux Thebaidos,Oriens,,Cohors nona Alamannorum
Burgo Zono,Burgo Zono,Place,Dux Daciae ripensis,Oriens,,Auxilium secundorum Daciscorum
Busiris,Busiris,Place,Comes limitis Aegypti,Oriens,,Cohors secunda Astarum
Caballoduno,Caballoduno,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis Araricae
Caelio,Caelio,Place,Dux Raetiae,Occidentis,Tribunus,cohortis tertiae Herculeae Pannoniorum
Caesarea Cappadociae,Caesarea Cappadociae,Place,Insignia viri illustris magistri officiorum,Oriens,,Clibanaria
Calabriae,Calabriae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator bafii Tarentini
Calaronae,Calaronae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Tribunus,cohortis primae Flaviae Sapaudicae
Callinico,Callinico,Place,Dux Osrhoenae,Oriens,,Equites promoti Illyriciani
Cambidano,Cambidano,Place,Dux Raetiae,Occidentis,Praefectus,legionis tertiae Italicae pro parte media praetendentis a Vimania Cassiliacum usque
Capidaua,Capidaua,Place,Dux Scythiae,Oriens,,Cuneus equitum Solensium
Caput Basensis,Caput Basensis,Place,Dux Pannoniae,Occidentis,Tribunus,cohortis primae Thracum civium Romanorum
