occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000175,Occidentis,Dux provinciae Valeriae,1279,Odiabo,tail,,Equites Dalmatae,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000182,Occidentis,Dux provinciae Valeriae,1286,Matrice,tail,,Equites promoti,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000185,Occidentis,Dux provinciae Valeriae,1289,Adnamantia,tail,,Equites Dalmatae,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000195,Occidentis,Dux provinciae Valeriae,1299,Cirpe,tail,,Auxilia Fortensia,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000197,Occidentis,Dux provinciae Valeriae,1301,Bregtione,tail,Praefectus,legionis primae adiutricis cohortis quintae partis superioris,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000200,Occidentis,Dux provinciae Valeriae,1304,Acinco,tail,Praefectus,legionis secundae adiutricis partis superioris,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000207,Occidentis,Dux provinciae Valeriae,1312,ad burgum Centenarium,tail,Tribunus,cohortis,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000208,Occidentis,Dux provinciae Valeriae,1313,Alesacae,tail,Tribunus,cohortis,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000210,Occidentis,Dux provinciae Valeriae,1315,Transiacinco,tail,Praefectus,legionis,Valeriae ripensis,,,Valeriae ripensis,Valeriae ripensis,,Dux provinciae Valeriae / Dux provinciae Valeriae / Sub dispositione viri spectabilis ducis provinciae Valeriae ripensis
OCC000211,Occidentis,Dux Pannoniae primae,1329,Flexo,tail,,Cuneus equitum Dalmatarum,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis
OCC000216,Occidentis,Dux Pannoniae primae,1334,Aequinoctoiae,tail,,Equites Dalmatae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis
OCC000219,Occidentis,Dux Pannoniae primae,1337,Flexo,tail,,Equites promoti,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis
OCC000224,Occidentis,Dux Pannoniae primae,1343,Arrunto,tail,Praefectus,classis Histricae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis
OCC000225,Occidentis,Dux Pannoniae primae,1343,Vindomanae,tail,Praefectus,classis Histricae,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis
OCC000229,Occidentis,Dux Pannoniae primae,1348,Lacufelicis,tail,,Equites sagittarii,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis
OCC000237,Occidentis,Dux Pannoniae primae,1356,Fafianae,tail,Praefectus,legionis liburnariorum primorum Noricorum,Pannoniae et Norici ripensis,,,Pannoniae et Norici ripensis,Pannoniae et Norici ripensis,,Dux Pannoniae primae / Dux Pannoniae primae / Sub dispositione viri spectabilis ducis Pannoniae et Norici ripensis
OCC000241,Occidentis,Dux Raetiae,1375,Augustanis,tail,,Equites stablesiani seniores,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000242,Occidentis,Dux Raetiae,1376,Ponte Aoni,tail,,Equites stablesiani iuniores,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000243,Occidentis,Dux Raetiae,1376,Febians,alternate,,Equites stablesiani iuniores,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000248,Occidentis,Dux Raetiae,1380,Cambidano,tail,Praefectus,legionis tertiae Italicae pro parte media praetendentis a Vimania Cassiliacum usque,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000250,Occidentis,Dux Raetiae,1382,Foetibus,tail,Praefectus,legionis tertiae Italicae transvectioni specierum deputatae,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000253,Occidentis,Dux Raetiae,1385,Batavis,tail,Tribunus,cohortis novae Batavorum,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
