candidateId,placeName,candidate,candidateNo,candidateType,chapter,document,nodeType,office,unit,canonicalName,province,region,latitude,longitude,confidence,notes
PLCAND00051,Andro,Andro,1,Place,Comes limitis Aegypti,Oriens,legion,,Legio tertia Diocletiana,,,,,,,
PLCAND00052,Ansamo,Ansamo,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites praeventores,,,,,,,
PLCAND00053,Antiochiae,Antiochiae,1,Place,Insignia viri illustris magistri officiorum,Oriens,unknown,,;Clibanaria,,,,,,,
PLCAND00054,Antiochiae,Antiochiae,1,Place,Insignia viri illustris magistri officiorum,Oriens,unknown,,Scutaria et armorum,,,,,,,
PLCAND00055,Antonaco,Antonaco,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum Acincensium,,,,,,,
PLCAND00056,Apadna,Apadna,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites promoti indigenae,,,,,,,
PLCAND00057,Apatna,Apatna,1,Place,Dux Osrhoenae,Oriens,unknown,,..............,,,,,,,
PLCAND00058,Apollonos superioris,Apollonos superioris,1,Place,Dux Thebaidos,Oriens,legion,,Legio secunda Traiana,,,,,,,
PLCAND00059,Appiaria,Appiaria,1,Place,Dux Moesiae secundae,Oriens,cuneus,,Cuneus equitum scutariorum,,,,,,,
PLCAND00060,Appiaria,Appiaria,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites tertii navclarii,,,,,,,
PLCAND00061,Apuliae,Apuliae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator gynaecii Canusini et Venusini,,,,,,,
PLCAND00062,Aquileiae,Aquileiae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,classis Venetum,,,,,,,
PLCAND00063,Aquis siue Tertona,Aquis,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,Sarmatarum gentilium,,,,,,,
PLCAND00065,Arauraca,Arauraca,1,Place,Dux Armeniae,Oriens,cohort,,Cohors miliaria Bosporiana,,,,,,,
PLCAND00066,Arbeia,Arbeia,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,numeri barcariorum Tigrisiensium,,,,,,,
PLCAND00067,Arbore,Arbore,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis Herculeae Pannoniorum,,,,,,,
PLCAND00068,Arefa,Arefa,1,Place,Dux Foenicis,Oriens,ala,,Ala secunda Salutis,,,,,,,
PLCAND00611,Viennae siue Arelati,Arelati,2,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,classis fluminis Rhodani,,,,,,,
PLCAND00069,Areopoli,Areopoli,1,Place,Dux Arabiae,Oriens,equites,,Equites Mauri Illyriciani,,,,,,,
PLCAND00070,Arieldela,Arieldela,1,Place,Dux Palaestinae,Oriens,cohort,,Cohors secunda Galatarum,,,,,,,
PLCAND00071,Arlape,Arlape,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00493,scordiscorum et armorum,armorum,2,Place,Insignia viri illustris magistri officiorum,Occidentis,unknown,,Sirmensis scutorum,,,,,,,
PLCAND00072,Arrabonae,Arrabonae,1,Place,Dux Pannoniae primae,Occidentis,cuneus,,Cuneus equitum stablesianorum,,,,,,,
PLCAND00073,Arrabonae,Arrabonae,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites promoti,,,,,,,
PLCAND00074,Arrabonae,Arrabonae,1,Place,Dux Pannoniae primae,Occidentis,unknown,Praefectus,legionis decimae et quartaedecimaegeminae geminarum militum liburnariorum,,,,,,,
PLCAND00075,Arrianis,Arrianis,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,
PLCAND00076,Arrunto siue Vindomanae,Arrunto,1,Place,Dux Pannoniae primae,Occidentis,unknown,Praefectus,classis Histricae,,,,,,,
PLCAND00078,Arsaciana siue Novas,Arsaciana,1,Place,Dux Pannoniae,Occidentis,auxilia,,Auxilia Novensia,,,,,,,
PLCAND00080,Arubio,Arubio,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum catafractariorum,,,,,,,
PLCAND00081,Arumbernos Aquitanicae primae,Arumbernos Aquitanicae primae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum gentilium Suevorum,,,,,,,
PLCAND00082,Asabaia,Asabaia,1,Place,Dux Arabiae,Oriens,cohort,,Cohors prima Thracum,,,,,,,
PLCAND00083,Asfynis,Asfynis,1,Place,Dux Thebaidos,Oriens,equites,,Equites felices Honoriani,,,,,,,
PLCAND00084,Assara,Assara,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites scutarii indigenae Pafenses,,,,,,,
PLCAND00085,Asuada,Asuada,1,Place,Dux Palaestinae,Oriens,ala,,Ala prima miliaria Sebastena,,,,,,,
PLCAND00086,Atrabatis Belgicae secundae,Atrabatis Belgicae secundae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum Batavorum Nemetacensium,,,,,,,
PLCAND00087,Au.....,Au,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,Sarmatarum gentilium,,,,,,,
PLCAND00088,Auatha,Auatha,1,Place,Dux Arabiae,Oriens,ala,,Ala nona miliaria,,,,,,,
PLCAND00089,Auatha,Auatha,1,Place,Dux Foenicis,Oriens,equites,,Equites promoto indigenae,,,,,,,
PLCAND00090,Augustae,Augustae,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum Dalmatarum,,,,,,,
PLCAND00091,Augustanis,Augustanis,1,Place,Dux Raetiae,Occidentis,equites,,Equites stablesiani seniores,,,,,,,
PLCAND00092,Augustianis,Augustianis,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00093,Aulucos,Aulucos,1,Place,Comes Tingitaniae,Occidentis,unknown,Tribunus,cohortis primae Herculeae,,,,,,,
PLCAND00094,Aureomonto,Aureomonto,1,Place,Dux Moesiae primae,Oriens,cuneus,,Cuneus equtum Dalmatarum,,,,,,,
PLCAND00095,Austuris,Austuris,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,
PLCAND00096,Axeloduno,Axeloduno,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Hispanorum,,,,,,,
PLCAND00097,Axiupoli,Axiupoli,1,Place,Dux Scythiae,Oriens,milites,,Milites superventores,,,,,,,
PLCAND00098,Axiupoli,Axiupoli,1,Place,Dux Scythiae,Oriens,unknown,Praefectus,ripae legionis secundae Herculiae cohortis quintae pedaturae inferioris,,,,,,,
PLCAND00099,Babilona,Babilona,1,Place,Comes limitis Aegypti,Oriens,legion,,Legio tertiadecima gemina,,,,,,,
PLCAND00100,Baiocas et Constantiae Lugdunensis secundae,Baiocas,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum Batavorum et gentilium Sueuorum,,,,,,,
PLCAND00102,balistaria et clibanaria,balistaria,1,Place,Insignia viri illustris magistri officiorum,Occidentis,unknown,,Augustodunensis loricaria,,,,,,,
PLCAND00104,Banasam,Banasam,1,Place,Dux Osrhoenae,Oriens,equites,,Equites promoti indigenae,,,,,,,
PLCAND00105,Barbalisso,Barbalisso,1,Place,Dux Syriae,Oriens,equites,,Equites Dalmatae Illyriciani,,,,,,,
PLCAND00106,Barboniaco,Barboniaco,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,numeri defensorum,,,,,,,
PLCAND00107,Batavis,Batavis,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis novae Batavorum,,,,,,,
PLCAND00108,Belgicae primae,Belgicae primae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator gynaecii Triberorum,,,,,,,
PLCAND00109,Belgicae secundae,Belgicae secundae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator gynaecii Remensis,,,,,,,
PLCAND00110,Benetis,Benetis,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Maurorum Benetorum,,,,,,,
PLCAND00111,Benosabae,Benosabae,1,Place,Dux Palaestinae,Oriens,equites,,Equites Dalmatae Illyriciani,,,,,,,
PLCAND00112,Bethallaha,Bethallaha,1,Place,Dux Mesopotamiae,Oriens,cohort,,Cohors quinquagenaria Arabum,,,,,,,
PLCAND00113,Betproclis,Betproclis,1,Place,Dux Foenicis,Oriens,equites,,Equites Saraceni indigenae,,,,,,,
PLCAND00114,Betthoro,Betthoro,1,Place,Dux Arabiae,Oriens,unknown,Praefectus,legionis quartae Martiae,,,,,,,
PLCAND00115,Bingio,Bingio,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum Bingensium,,,,,,,
PLCAND00116,Bireo,Bireo,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum stablesianorum,,,,,,,
PLCAND00117,Birsama,Birsama,1,Place,Dux Palaestinae,Oriens,equites,,Equites Thamudeni Illyriciani,,,,,,,
PLCAND00118,Blabia,Blabia,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum Carronensium,,,,,,,
PLCAND00119,Bodobrica,Bodobrica,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum balistariorum,,,,,,,
PLCAND00120,Boiodoro,Boiodoro,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,
PLCAND00121,Bononia,Bononia,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum Dalmatarum Fortensium,,,,,,,
PLCAND00122,Bononiae,Bononiae,1,Place,Dux Pannoniae,Occidentis,unknown,Praefectus,legionis quintae Ioviae cohortis quintae partis superioris,,,,,,,
PLCAND00123,Bononiae in Aemilia,Bononiae in Aemilia,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,Sarmatarum gentilium,,,,,,,
PLCAND00124,Bonoriae,Bonoriae,1,Place,Dux Pannoniae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00125,Borcovicio,Borcovicio,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis primae Tungrorum,,,,,,,
PLCAND00126,Bostra,Bostra,1,Place,Dux Arabiae,Oriens,unknown,Praefectus,legionis tertiae Cyrenaicae,,,,,,,
PLCAND00127,Branoduno,Branoduno,1,Place,Comes litoris Saxonici per Britanniam,Occidentis,unknown,Praepositus,equitum Dalmatarum Branodunensium,,,,,,,
PLCAND00185,Confluentibus siue Brecantia,Brecantia,2,Place,Dux Raetiae,Occidentis,unknown,Praefectus,numeri barbaricariorum,,,,,,,
PLCAND00128,Bregtione,Bregtione,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Praefectus,legionis primae adiutricis cohortis quintae partis superioris,,,,,,,
PLCAND00129,Bremetenraco,Bremetenraco,1,Place,Dux Britanniarum,Occidentis,cuneus,,Cuneus Sarmatarum,,,,,,,
PLCAND00130,Burgenas,Burgenas,1,Place,Dux Pannoniae,Occidentis,cuneus,,Cuneus equitum Constantianorum,,,,,,,
PLCAND00131,Burgenas,Burgenas,1,Place,Dux Pannoniae,Occidentis,unknown,Praefectus,legionis quintae Ioviae,,,,,,,
PLCAND00132,Burgentas,Burgentas,1,Place,Dux Pannoniae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00133,Burgo Novo,Burgo Novo,1,Place,Dux Daciae ripensis,Oriens,unknown,Praefectus,legionis tertiaedecimae geminae,,,,,,,
PLCAND00134,Burgo Severi,Burgo Severi,1,Place,Dux Thebaidos,Oriens,cohort,,Cohors nona Alamannorum,,,,,,,
PLCAND00135,Burgo Zono,Burgo Zono,1,Place,Dux Daciae ripensis,Oriens,auxilia,,Auxilium secundorum Daciscorum,,,,,,,
PLCAND00136,Busiris,Busiris,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors secunda Astarum,,,,,,,
PLCAND00137,Caballoduno,Caballoduno,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,classis Araricae,,,,,,,
PLCAND00138,Caelio,Caelio,1,Place,Dux Raetiae,Occidentis,unknown,Tribunus,cohortis tertiae Herculeae Pannoniorum,,,,,,,
PLCAND00139,Caene - Parembole,Caene,1,Place,Dux Armeniae,Oriens,cohort,,Cohors prima Lepidiana,,,,,,,
PLCAND00141,Caesarea Cappadociae,Caesarea Cappadociae,1,Place,Insignia viri illustris magistri officiorum,Oriens,unknown,,Clibanaria,,,,,,,
PLCAND00142,Caini,Caini,1,Place,Dux Mesopotamiae,Oriens,ala,,Ala quintadecima Flavia Carduenorum,,,,,,,
PLCAND00143,Calabriae,Calabriae,1,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,Procurator bafii Tarentini,,,,,,,
PLCAND00144,Calamona,Calamona,1,Place,Dux Foenicis,Oriens,equites,,Equites sagittarii indigenae,,,,,,,
PLCAND00145,Calamona,Calamona,1,Place,Dux Palaestinae,Oriens,cohort,,Cohors prima equitata,,,,,,,
PLCAND00146,Calaronae,Calaronae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Tribunus,cohortis primae Flaviae Sapaudicae,,,,,,,
PLCAND00147,Callinico,Callinico,1,Place,Dux Osrhoenae,Oriens,equites,,Equites promoti Illyriciani,,,,,,,
PLCAND00148,Cambidano,Cambidano,1,Place,Dux Raetiae,Occidentis,unknown,Praefectus,legionis tertiae Italicae pro parte media praetendentis a Vimania Cassiliacum usque,,,,,,,
PLCAND00149,Campona,Campona,1,Place,Dux provinciae Valeriae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00150,Candidiana,Candidiana,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites primi Moesiaci,,,,,,,
PLCAND00151,Cannabiaca,Cannabiaca,1,Place,Dux Pannoniae primae,Occidentis,unknown,Tribunus,cohortis,,,,,,,
PLCAND00152,Capidaua,Capidaua,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum Solensium,,,,,,,
PLCAND00153,Caput Basensis,Caput Basensis,1,Place,Dux Pannoniae,Occidentis,unknown,Tribunus,cohortis primae Thracum civium Romanorum,,,,,,,
PLCAND00154,Cardabiaca,Cardabiaca,1,Place,Dux provinciae Valeriae,Occidentis,auxilia,,Auxilia insidiatorum,,,,,,,
PLCAND00155,Carnunta Senoniae Lugdunensis,Carnunta Senoniae Lugdunensis,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum Teutonicianorum,,,,,,,
PLCAND00156,Carnunto,Carnunto,1,Place,Dux Pannoniae primae,Occidentis,unknown,Praefectus,legionis quartaedecimaegeminae militum liburnariorum cohortis quintae partis superior,,,,,,,
PLCAND00157,Carso,Carso,1,Place,Dux Scythiae,Oriens,milites,,Milites Scythici,,,,,,,
PLCAND00158,Cartha,Cartha,1,Place,Dux Mesopotamiae,Oriens,ala,,Ala secunda nova Aegyptiorum,,,,,,,
PLCAND00159,Cartha,Cartha,1,Place,Dux Palaestinae,Oriens,cohort,,Cohors decima Carthaginensis,,,,,,,
PLCAND00332,Mefana - Cartha,Cartha,2,Place,Dux Mesopotamiae,Oriens,equites,,Equites sagittarii indigenae Arabanenses,,,,,,,
PLCAND00160,Casama,Casama,1,Place,Dux Foenicis,Oriens,equites,,Equites sagittarii indigenae,,,,,,,
PLCAND00161,Castra Iudaeorum,Castra Iudaeorum,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors prima Epireorum,,,,,,,
PLCAND00162,Castrabarensis,Castrabarensis,1,Place,Comes Tingitaniae,Occidentis,unknown,Tribunus,cohortis primae Ityraeorum,,,,,,,
PLCAND00163,Cebro,Cebro,1,Place,Dux Daciae ripensis,Oriens,cuneus,,Cuneus equitum scutariorum,,,,,,,
PLCAND00164,Cebro,Cebro,1,Place,Dux Daciae ripensis,Oriens,unknown,Praefectus,legionis quintae Macedonicae,,,,,,,
PLCAND00165,Cefae,Cefae,1,Place,Dux Mesopotamiae,Oriens,unknown,Praefectus,legionis secundae Parthicae,,,,,,,
PLCAND00166,Cefro,Cefro,1,Place,Comes limitis Aegypti,Oriens,cohort,,Cohors tertia Galatarum,,,,,,,
PLCAND00167,Chaszanenica,Chaszanenica,1,Place,Dux Armeniae,Oriens,ala,,Ala prima Iovia felix,,,,,,,
PLCAND00168,Chenoboscia,Chenoboscia,1,Place,Dux Thebaidos,Oriens,ala,,Ala Neptunia,,,,,,,
PLCAND00169,Chermulae,Chermulae,1,Place,Dux Palaestinae,Oriens,equites,,Equites scutarii Illyriciani,,,,,,,
PLCAND00170,Chiaca,Chiaca,1,Place,Dux Armeniae,Oriens,ala,,Ala prima Augusta Colonorum,,,,,,,
PLCAND00171,Cii,Cii,1,Place,Dux Scythiae,Oriens,cuneus,,Cuneus equitum stablesianorum,,,,,,,
PLCAND00172,Cilurno,Cilurno,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,alae secundae Asturum,,,,,,,
PLCAND00173,Cimbrianis,Cimbrianis,1,Place,Dux Moesiae secundae,Oriens,milites,,Milites Cimbriani,,,,,,,
PLCAND00174,Circesio,Circesio,1,Place,Dux Osrhoenae,Oriens,unknown,Praefectus,legionis quartae Parthicae,,,,,,,
PLCAND00175,Cirpe,Cirpe,1,Place,Dux provinciae Valeriae,Occidentis,auxilia,,Auxilia Fortensia,,,,,,,
PLCAND00176,Cirpi,Cirpi,1,Place,Dux provinciae Valeriae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00177,Cirpi,Cirpi,1,Place,Dux provinciae Valeriae,Occidentis,unknown,Praefectus,legionis secundae adiutricis,,,,,,,
PLCAND00178,Claudiana,Claudiana,1,Place,Dux Syriae,Oriens,cohort,,Cohors prima Ulpia Dacorum,,,,,,,
PLCAND00103,balistaria et clibanaria,clibanaria,2,Place,Insignia viri illustris magistri officiorum,Occidentis,unknown,,Augustodunensis loricaria,,,,,,,
PLCAND00179,Comagenis,Comagenis,1,Place,Dux Pannoniae primae,Occidentis,equites,,Equites promoti,,,,,,,
PLCAND00180,Como,Como,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,classis Comensis cum curis eiusdem civitatis,,,,,,,
PLCAND00181,Concangios,Concangios,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,numeri vigilum,,,,,,,
PLCAND00182,Conderco,Conderco,1,Place,Dux Britanniarum,Occidentis,unknown,Praefectus,alae primae Asturum,,,,,,,
PLCAND00183,Confluentibus,Confluentibus,1,Place,Dux Mogontiacensis,Occidentis,unknown,Praefectus,militum defensorum,,,,,,,
PLCAND00184,Confluentibus siue Brecantia,Confluentibus,1,Place,Dux Raetiae,Occidentis,unknown,Praefectus,numeri barbaricariorum,,,,,,,
PLCAND00186,Congavata,Congavata,1,Place,Dux Britanniarum,Occidentis,unknown,Tribunus,cohortis secundae Lingonum,,,,,,,
PLCAND00187,Constantia,Constantia,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites felices Honoriani Illyriciani,,,,,,,
PLCAND00188,Constantia,Constantia,1,Place,Dux tractus Armoricani,Occidentis,unknown,Praefectus,militum primae Flaviae,,,,,,,
PLCAND00189,Constantiae,Constantiae,1,Place,Dux provinciae Valeriae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00101,Baiocas et Constantiae Lugdunensis secundae,Constantiae Lugdunensis secundae,2,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,laetorum Batavorum et gentilium Sueuorum,,,,,,,
PLCAND00190,Constantina,Constantina,1,Place,Dux Mesopotamiae,Oriens,equites,,Equites promoti indigenae,,,,,,,
PLCAND00191,Constantina,Constantina,1,Place,Dux Mesopotamiae,Oriens,unknown,Praefectus,legionis primae Parthicae Nisibenae,,,,,,,
PLCAND00192,Copto,Copto,1,Place,Dux Thebaidos,Oriens,equites,,Equites sagittarii indigenae,,,,,,,
PLCAND00193,Copto,Copto,1,Place,Dux Thebaidos,Oriens,legion,,Legio prima Valentiniana,,,,,,,
PLCAND00194,Cornacii,Cornacii,1,Place,Dux Pannoniae,Occidentis,cuneus,,Cuneus equitum scutariorum,,,,,,,
PLCAND00195,Cornaco,Cornaco,1,Place,Dux Pannoniae,Occidentis,equites,,Equites Dalmatae,,,,,,,
PLCAND00484,Saradiniae et Corsicae,Corsicae,2,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,civil,,"Rationalis summarum Trum provinciarum, id est Siciliae",,,,,,,
PLCAND00196,Cremonae,Cremonae,1,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,unknown,Praefectus,Sarmatarum gentilium,,,,,,,
PLCAND00197,Crispitia,Crispitia,1,Place,Dux Daciae ripensis,Oriens,auxilia,,Auxilium Crispitiense,,,,,,,
PLCAND00198,Crumero,Crumero,1,Place,Dux provinciae Valeriae,Occidentis,equites,,Equites promoti,,,,,,,
