placeName,pleiadesId,pleiadesName,featureType,description,uri
Morbio,92170,Morbium,unknown,"An ancient place, cited: BAtlas 9 unlocated Morbium",http://pleiades.stoa.org/places/92170
Nee,554290,Nee,unknown,"An ancient place, cited: BAtlas 56 unlocated Nea Kome/Nee",http://pleiades.stoa.org/places/554290
Norici mediterranei et ripensis,187490,Norici,unknown,A federated Celtic kingdom that became a province of the Roman empire.,http://pleiades.stoa.org/places/187490
Olenaco,89260,Olenacum,unknown,"A Roman fort at present day Elslack, North Yorkshire, cited: BAtlas 9 E7 Olenacum?",http://pleiades.stoa.org/places/89260
Ombos,789748,Ombos,unknown,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",http://pleiades.stoa.org/places/789748
Otthara,682570,Otthara,unknown,"An ancient place, cited: BAtlas 69 unlocated Otthara",http://pleiades.stoa.org/places/682570
Pacatiana,278631,Pacatiana,unknown,"An ancient place, cited: BAtlas 28 unlocated Pacatiana",http://pleiades.stoa.org/places/278631
Parembole,690830,Parembole,unknown,"An ancient place, cited: BAtlas 70 unlocated Parembole",http://pleiades.stoa.org/places/690830
Praesidio,236617,Praesidium,unknown,"An ancient place, cited: BAtlas 24 D2 Praesidium",http://pleiades.stoa.org/places/236617
Praesidio,240994,Praesidium,unknown,"An ancient place, cited: BAtlas 24 unlocated Praesidium",http://pleiades.stoa.org/places/240994
Praesidio,472117,Praesidium,unknown,"An ancient place, cited: BAtlas 48 D3 Praesidium",http://pleiades.stoa.org/places/472117
Praesidio,484007,Praesidium,unknown,"An ancient place, cited: BAtlas 49 unlocated Praesidium",http://pleiades.stoa.org/places/484007
Praesidio,92180,Praesidium,unknown,"An ancient place, cited: BAtlas 9 unlocated Praesidium",http://pleiades.stoa.org/places/92180
Quadriburgio,203151,Quadriburgium,unknown,"An ancient place, cited: BAtlas 20 unlocated Quadriburgium",http://pleiades.stoa.org/places/203151
Quadriburgio,211453,Quadriburgium,unknown,"An ancient place, cited: BAtlas 21 unlocated Quadriburgium",http://pleiades.stoa.org/places/211453
Raetiae secundae,187523,Raetia,unknown,"An ancient place, cited: BAtlas 19 B3 Raetia",http://pleiades.stoa.org/places/187523
Raetiae secundae,981547,Raetia,unknown,"An ancient place, cited: BAtlas 100 H2 Raetia",http://pleiades.stoa.org/places/981547
Rasin,876684,Rasin,unknown,"An ancient place, cited: BAtlas 89 unlocated Rasin/Rhasios",http://pleiades.stoa.org/places/876684
Rene,876686,Rene,unknown,"An ancient place, cited: BAtlas 89 unlocated Rene",http://pleiades.stoa.org/places/876686
Ripa Alta,270365,Ripa,unknown,"An ancient place, cited: BAtlas 27 unlocated Ripa",http://pleiades.stoa.org/places/270365
Ripaltha,876689,Ripaltha,unknown,"An ancient place, cited: BAtlas 89 unlocated Ripaltha",http://pleiades.stoa.org/places/876689
Robatha,699908,Robatha,unknown,"An ancient place, cited: BAtlas 71 unlocated Robatha/Robotha",http://pleiades.stoa.org/places/699908
Sala,614824,Sala,unknown,"An ancient place, cited: BAtlas 62 unlocated Sala",http://pleiades.stoa.org/places/614824
Sala,866051,Sala,unknown,"An ancient place, cited: BAtlas 88 unlocated Sala",http://pleiades.stoa.org/places/866051
Saltatha,674263,Saltatha,unknown,"An ancient place, cited: BAtlas 68 unlocated Saltatha",http://pleiades.stoa.org/places/674263
Saradiniae et Corsicae,472063,Corsica,,"The island of Corsica, in the Mediterranean Sea.",http://pleiades.stoa.org/places/472063
Saradiniae et Corsicae,991339,Corsica,,The post-Diocletianic province of Corsica according to the Verona List (ca. AD 303-324); coincident geographically with the island in the Mediterranean.,http://pleiades.stoa.org/places/991339
Saviae,991357,Savia,unknown,"An ancient place, cited: BAtlas 101 K2 Savia",http://pleiades.stoa.org/places/991357
Sebastopolis,222180,Sebastopolis,unknown,"An ancient place, cited: BAtlas 22 unlocated Sebastopolis",http://pleiades.stoa.org/places/222180
Sina Iudaeorum,876701,Sina Iudaeorum,unknown,"An ancient place, cited: BAtlas 89 unlocated Sinas/Sina Iudaeorum/Sinna",http://pleiades.stoa.org/places/876701
Sina Iudaeorum,964140,Sina,unknown,"An ancient place, cited: BAtlas 98 unlocated Sina/Sena",http://pleiades.stoa.org/places/964140
Sisila,876704,Sisila,unknown,"An ancient place, cited: BAtlas 89 unlocated Sisila/Sissilisson Phrourion/Ziziola?",http://pleiades.stoa.org/places/876704
Suissa,860859,Suissa,unknown,"An ancient place, cited: BAtlas 87 unlocated Suissa",http://pleiades.stoa.org/places/860859
Sura,109359,Sura,unknown,"An ancient place, cited: BAtlas 11 F3 Sura fl.",http://pleiades.stoa.org/places/109359
Thillafica,876722,Thillafica,unknown,"An ancient place, cited: BAtlas 89 unlocated Thillafica",http://pleiades.stoa.org/places/876722
Thillazamana,876723,Thillazamana,unknown,"An ancient place, cited: BAtlas 89 unlocated Thillazamana/Monithilla",http://pleiades.stoa.org/places/876723
Vangiones,109410,Vangiones,unknown,"The Vangiones were a Germanic tribe. They allied themselves with Ariovistus (58 BC) as he invaded Gaul and was defeated by Julius Caesar near Belfort. Drusus established two forts among the Vangiones, castrum Mogontiacum (13 BC, later Mainz) and another (14 BC) at Worms.",http://pleiades.stoa.org/places/109410
Verteris,89312,Verteris,unknown,"An ancient place, cited: BAtlas 9 E6 Verteris",http://pleiades.stoa.org/places/89312
Vincentiae,203168,Vincentia,unknown,"An ancient place, cited: BAtlas 20 unlocated Vincentia",http://pleiades.stoa.org/places/203168
Vincentiae,211467,Vincentia,unknown,"An ancient place, cited: BAtlas 21 unlocated Vincentia",http://pleiades.stoa.org/places/211467
Virosido,89317,Virosidum,fort;,A Roman fort at present-day Bainbridge. Cited as BAtlas 9 E6 Virosidum,http://pleiades.stoa.org/places/89317
